Epoch 0/10 | Ep 61/100 | Scen: building_collapse | Cov: 96.4% | Vic: 7/7 | Col: 8 | Steps: 147
Epoch 0/10 | Ep 62/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 63/100 | Scen: building_collapse | Cov: 99.9% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 64/100 | Scen: building_collapse | Cov: 100.0% | Vic: 7/7 | Col: 6 | Steps: 381
Epoch 0/10 | Ep 65/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 18 | Steps: 500
Epoch 0/10 | Ep 66/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 67/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 62 | Steps: 500
Epoch 0/10 | Ep 68/100 | Scen: building_collapse | Cov: 91.9% | Vic: 7/7 | Col: 2 | Steps: 56
Epoch 0/10 | Ep 69/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 70/100 | Scen: building_collapse | Cov: 97.5% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 71/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 72/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 73/100 | Scen: building_collapse | Cov: 98.4% | Vic: 5/7 | Col: 12 | Steps: 500
Epoch 0/10 | Ep 74/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 75/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 76/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 77/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 14 | Steps: 500
Epoch 0/10 | Ep 78/100 | Scen: building_collapse | Cov: 98.0% | Vic: 5/7 | Col: 16 | Steps: 500
